Card#,Title,Artist,URL
1, Wann wird's mal wieder richtig Sommer, Rudi Carrell, https://www.youtube.com/watch?v=KzEOvyDcVas
2, You Can Call Me Al, Paul Simon, https://www.youtube.com/watch?v=uq-gYOrU8bA
3, Start Me Up, The Rolling Stones, https://www.youtube.com/watch?v=SGyOaCXr8Lw
4, The Twist, Chubby Checker, https://www.youtube.com/watch?v=-CCgDvUM4TM
5, Blurred Lines, "Robin Thicke feat. T.I. & Pharrell Williams", https://www.youtube.com/watch?v=yyDUC1LUXSU
6, Hangover, "Taio Cruz, Flo Rida", https://www.youtube.com/watch?v=dLhFDYQHDQY
7, One More Time, Daft Punk, https://www.youtube.com/watch?v=FGBhQbmPwH8
8, China In Your Hand, "T'Pau", https://www.youtube.com/watch?v=T4sV3lqzKqQ
9, The Best, Tina Turner, https://www.youtube.com/watch?v=GC5E8ie2pdM
10, The Hustle, Van McCoy & The Soul City Symphony, https://www.youtube.com/watch?v=SFzMs2SN--s
11, Piece of My Heart, Erma Franklin, https://youtu.be/L0QAxIKf8G4?t=16
12, Hungry Eyes, Eric Carmen, https://www.youtube.com/watch?v=2ssCL292DQA
13, Karma Chameleon, Culture Club, https://www.youtube.com/watch?v=JmcA9LIIXWw
14, 99 Luftballons, Nena, https://www.youtube.com/watch?v=Fpu5a0Bl8eY
15, Beinhart, Torfrock, https://www.youtube.com/watch?v=Pmi0XqTlEY8
16, In Da Club, 50 Cent, https://www.youtube.com/watch?v=5qm8PH4xAss
17, "Don't Go", Yazoo, https://www.youtube.com/watch?v=_sQGwDeambg
18, I Wanna Dance with Somebody (Who Loves Me), Whitney Houston, https://www.youtube.com/watch?v=LX366rnYTB4
19, 7 Years, Lukas Graham, https://www.youtube.com/watch?v=LHCob76kigA
20, Sugar-Baby, Peter Kraus, https://www.youtube.com/watch?v=-9R3_53qe08
21, Lean On (feat. MØ), Major Lazer & DJ Snake, https://www.youtube.com/watch?v=YqeW9_5kURI
22, Einmal um die Welt, CRO, https://www.youtube.com/watch?v=u2pySXCmwpc
23, Ich will keine Schokolade, Trude Herr, https://www.youtube.com/watch?v=2OqgIupSf5k
24, 80 Millionen, Max Giesinger, https://www.youtube.com/watch?v=uC08L4xxjNM
25, Friday I'm In Love, The Cure, https://www.youtube.com/watch?v=mGgMZpGYiy8
26, What Is Love, Haddaway, https://www.youtube.com/watch?v=HEXWRTEbj1I
27, Auf uns, Andreas Bourani, https://www.youtube.com/watch?v=k9EYjn5f_nE
28, "Don't Stop Believin'", Journey, https://www.youtube.com/watch?v=1k8craCGpgs
29, Orinoco Flow, Enya, https://www.youtube.com/watch?v=LTrk4X9ACtw
30, Über den Wolken, Reinhard Mey, https://www.youtube.com/watch?v=fZMFF8QH3ew
31, Rehab, Amy Winehouse, https://www.youtube.com/watch?v=KUmZp8pR1uc
32, Liebeskummer lohnt sich nicht, Siw Malmkvist, https://www.youtube.com/watch?v=mUUJxMiznfc
33, You Make Me Feel (Mighty Real), Sylvester, https://www.youtube.com/watch?v=gD6cPE2BHic
34, Sweet Home Alabama, Lynyrd Skynyrd, https://www.youtube.com/watch?v=-35W_FWCT9Q
35, He Ain't Heavy He's My Brother, The Hollies, https://www.youtube.com/watch?v=eUWZqbumaZo
36, Eine neue Liebe ist wie ein neues Leben, Jürgen Marcus, https://www.youtube.com/watch?v=TGMSNWOzhtM
37, Manic Monday, The Bangles, https://www.youtube.com/watch?v=SsmVgoXDq2w
38, Paradise By the Dashboard Light, Meat Loaf, https://www.youtube.com/watch?v=C11MzbEcHlw
39, Never Ending Story, Limahl, https://www.youtube.com/watch?v=Gf1WT8VEZxk
40, Don't Call Me Up, Mabel, https://www.youtube.com/watch?v=9TQKyDD9Yig
41, Under the Bridge, Red Hot Chili Peppers, https://www.youtube.com/watch?v=GLvohMXgcBo
42, König von Deutschland, Rio Reiser, https://www.youtube.com/watch?v=BzGHhaMUqSQ
43, Upside Down, Diana Ross, https://www.youtube.com/watch?v=lZ9OP5dzkQg
